Date : 2026-04-18 12:10:51
Directory : /Users/charlottecox/Development/dissertation/draft2/src
Total : 144 files,  318770 codes, 902 comments, 2555 blanks, all 322227 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n100.csv           | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n1000.csv          | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_aftrOnDsChanges_n500.csv           | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n10.csv             | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n100.csv            | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n1000.csv           | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_monitoringDraw_n500.csv            | CSV        |         24 |          0 |          0 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n10.csv                            | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n100.csv                           | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n1000.csv                          | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/FSM_bench_n500.csv                           | CSV        |         20 |          0 |          0 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n10.csv                       | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n100.csv                      | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n500.csv                      | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/benchmarking/results/MC_bench_20pct_n750.csv                      | CSV        |         18 |          0 |          0 |         18 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/Accordion.svelte                                       | Svelte     |         74 |          0 |          4 |         78 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/HM.svelte                                           | Svelte     |        407 |          7 |         42 |        456 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/interHaloArrows.ts                                  | TypeScript |         71 |          0 |         11 |         82 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcLayoutPositions.ts                                | TypeScript |        191 |        117 |         46 |        354 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcPathWalk.ts                                       | TypeScript |        180 |          1 |         28 |        209 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcRendering.ts                                      | TypeScript |        129 |          1 |          6 |        136 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcSVGSetup.ts                                       | TypeScript |         13 |          0 |          2 |         15 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcSubgraphCA.ts                                     | TypeScript |         64 |          2 |          6 |         72 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeBox.svelte                              | Svelte     |        588 |          2 |         84 |        674 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeCompletePredictedMarkov.ts              | TypeScript |        169 |          0 |         35 |        204 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeProbabilityMarkov.ts                    | TypeScript |         28 |          1 |          8 |         37 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeValidityFSM.ts                          | TypeScript |        367 |         17 |         37 |        421 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/markovFilterHelpers.ts                         | TypeScript |         32 |          3 |          8 |         43 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmHGraphBuilder.ts                        | TypeScript |         46 |          0 |          4 |         50 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmHierarchicalViewer.svelte               | Svelte     |      1,188 |          0 |        196 |      1,384 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmToBeHacked.svelte                       | Svelte     |        763 |          0 |        121 |        884 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/fsmView.svelte                             | Svelte     |        198 |          0 |         32 |        230 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/depreciated/markovView.svelte                          | Svelte     |        280 |          0 |         42 |        322 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmLayoutPositions.ts                              | TypeScript |        169 |          7 |         41 |        217 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmRectangleUtilityHelpers.ts                      | TypeScript |        111 |          1 |         13 |        125 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmRendering.ts                                    | TypeScript |        258 |         41 |         50 |        349 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmSVGSetup.ts                                     | TypeScript |         13 |          1 |          6 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmSubgraphExpansion.ts                            | TypeScript |        221 |          6 |         27 |        254 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmSubgraphLayoutCA.ts                             | TypeScript |        205 |          9 |         22 |        236 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/fsmViewer.svelte                                   | Svelte     |        301 |          0 |         38 |        339 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/pathwalk.ts                                        | TypeScript |        105 |          4 |         15 |        124 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/FSM/screenControls.ts                                  | TypeScript |         30 |          6 |          4 |         40 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/interactive/preprocess_ted.py                          | Python     |         63 |          1 |         10 |         74 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/markovHierarchicalViewer.svelte                        | Svelte     |        575 |         11 |         69 |        655 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/pageIntro.svelte                                       | Svelte     |         27 |          0 |          2 |         29 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/collapse.ts                                | TypeScript |         43 |          1 |         10 |         54 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/graphRendering.ts                          | TypeScript |         76 |          0 |         10 |         86 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/lifecycle.ts                               | TypeScript |          6 |          0 |          1 |          7 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/tmpoldhm.svelte                                        | Svelte     |        828 |          0 |         80 |        908 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/caFSM.ts                                          | TypeScript |         45 |          0 |         10 |         55 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/caLetterMarkov.ts                                 | TypeScript |         27 |          0 |         13 |         40 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/ca_letters_markov.json                            | JSON       |         91 |          0 |          0 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/ca_markov.ts                                      | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/cam_letters/camFSM.ts                                        | TypeScript |         70 |          1 |         21 |         92 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/cam_letters/camLetterMarkov.ts                               | TypeScript |         59 |          0 |         34 |         93 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/cam_letters/camMarkov.ts                                     | TypeScript |         75 |          4 |         31 |        110 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/churchill/churchillFSM.ts                                    | TypeScript |         35 |          0 |          3 |         38 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/churchill/churchillMarkov.ts                                 | TypeScript |         37 |         16 |         22 |         75 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/TED_Talk.csv                                     | CSV        |      4,848 |          0 |         94 |      4,942 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/TED_Talk.json                                    | JSON       |    246,672 |          0 |          0 |    246,672 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/makeTedMarkov.ts                                 | TypeScript |         21 |          1 |          7 |         29 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/ASDiv.xml                                       | XML        |     16,140 |          0 |          3 |     16,143 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraFSM.ts                                   | TypeScript |        152 |          0 |         32 |        184 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraMarkov.ts                                | TypeScript |        129 |          0 |         30 |        159 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicArrayDataset.ts                        | TypeScript |      1,297 |          0 |          0 |      1,297 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicExpressions.csv                        | CSV        |      1,272 |          0 |          1 |      1,273 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicScraper.py                             | Python     |         16 |          1 |         10 |         27 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/pure_algebra/algebraicStructure.py                           | Python     |         27 |          0 |          6 |         33 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/createPythonData.py                       | Python     |         64 |          3 |         11 |         78 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/letFSM.ts                                 | TypeScript |        114 |         13 |         11 |        138 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/letFSM2.ts                                | TypeScript |        243 |         11 |         12 |        266 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/makeMarkovProbsPython.py                  | Python     |         49 |          6 |         16 |         71 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/markov_transitions.json                   | JSON       |      3,486 |          0 |          0 |      3,486 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/pythonMarkov.ts                           | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/build_dataset.py             | Python     |         93 |          1 |         14 |        108 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/real_markov_transitions.json | JSON       |      9,651 |          0 |          0 |      9,651 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/real_pythonMarkov.ts         | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/EDIT_hopcrofts.ts                                 | TypeScript |        153 |          1 |         34 |        188 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/EDIT_shakeitoffSAM.ts                             | TypeScript |         77 |          0 |         15 |         92 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/SAM.ts                                            | TypeScript |          3 |          0 |          3 |          6 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/hierarchical_markov_builder.py                    | Python     |         63 |          0 |         11 |         74 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOffFSM.ts                                  | TypeScript |         15 |          1 |          3 |         19 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_2gram_markov.json                      | JSON       |      1,024 |          0 |          0 |      1,024 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_3gram_markov.json                      | JSON       |      1,231 |          0 |          0 |      1,231 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_4gram_markov.json                      | JSON       |      1,353 |          0 |          0 |      1,353 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_Markov.ts                              | TypeScript |          4 |          2 |          2 |          8 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_hierarchical_markov.json               | JSON       |      1,273 |          0 |          0 |      1,273 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_v2_2gram_markov.json                   | JSON       |      1,024 |          0 |          0 |      1,024 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOfff_markov_kgrams.py                      | Python     |         50 |         31 |         19 |        100 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeitoff.ts                                     | TypeScript |        152 |         15 |         23 |        190 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/utilities/parse_helpers.py                                   | Python     |         82 |          1 |         18 |        101 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending40pMarkov.ts                                  | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending5pFSM.ts                                      | TypeScript |         41 |          0 |         15 |         56 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vendingFSM.ts                                        | TypeScript |         23 |          0 |         10 |         33 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vendingScript.py                                     | Python     |         32 |          3 |         10 |         45 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending_make_json.py                                 | Python     |         44 |          2 |         12 |         58 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending_markov.json                                  | JSON       |         91 |          0 |          0 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/Ending_Questionnaire.csv                               | CSV        |         28 |          0 |          1 |         29 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/Starter_questionnaire.csv                              | CSV        |         37 |          0 |          1 |         38 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/analysis.py                                            | Python     |        163 |          1 |         30 |        194 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/comparitive_responses.csv                              | CSV        |         27 |          0 |          0 |         27 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/interaction_log_rows_2.csv                             | CSV        |     13,085 |          0 |          0 |     13,085 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/students_rows_1.csv                                    | CSV        |         51 |          0 |          0 |         51 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphBehaviours.ts                                          | TypeScript |        102 |         46 |         21 |        169 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphDefaults.ts                                            | TypeScript |         21 |          0 |          3 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphTypes.ts                                               | TypeScript |         79 |         12 |          8 |         99 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/nodeColours.ts                                              | TypeScript |         31 |          0 |          5 |         36 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/index.ts                                                          | TypeScript |          0 |          1 |          1 |          2 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/styles/theme.css                                                  | PostCSS    |        279 |          0 |         26 |        305 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/auth.ts                                                  | TypeScript |         27 |          1 |          5 |         33 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/logging.ts                                               | TypeScript |         51 |          0 |          4 |         55 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/supabase.ts                                              | TypeScript |          5 |          0 |          3 |          8 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/+layout.js                                                     | JavaScript |          1 |          0 |          1 |          2 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/+layout.svelte                                                 | Svelte     |         81 |         16 |         16 |        113 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/+page.svelte                                                   | Svelte     |         48 |          5 |          8 |         61 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/TED/+page.svelte                                               | Svelte     |        197 |          0 |         18 |        215 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/benchmark/+page.svelte                                         | Svelte     |        174 |          0 |         13 |        187 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/cartons_letters/+page.svelte                                   | Svelte     |        228 |         42 |         26 |        296 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/algebraPage0/+page.svelte                            | Svelte     |        139 |          0 |         15 |        154 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/caPage1/+page.svelte                                 | Svelte     |         98 |          0 |         12 |        110 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/camPage2/+page.svelte                                | Svelte     |         80 |          0 |         11 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/cambridgeFsm/+page.svelte                            | Svelte     |        317 |          0 |         62 |        379 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/churPage3/+page.svelte                               | Svelte     |         81 |         86 |         10 |        177 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/churchillFSM/+page.svelte                            | Svelte     |        287 |          0 |         51 |        338 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/holdsShape/+page.svelte                              | Svelte     |        209 |          0 |         50 |        259 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/markov1/+page.svelte                                 | Svelte     |          0 |        268 |          0 |        268 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/myFSM/+page.svelte                                   | Svelte     |        263 |          0 |         51 |        314 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/resizes/+page.svelte                                 | Svelte     |        150 |          0 |         28 |        178 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/not_using/svelteImperativeFSM/+page.svelte                     | Svelte     |        135 |          0 |         16 |        151 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/python/+page.svelte                                            | Svelte     |        294 |          5 |         31 |        330 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/shakeItOff/+page.svelte                                        | Svelte     |        180 |         45 |         15 |        240 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/vending/+page.svelte                                           | Svelte     |        236 |          0 |         23 |        259 |
| Total                                                                                                                         |            |    318,770 |        902 |      2,555 |    322,227 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
