Date : 2026-04-18 11:55:08
Directory : /Users/charlottecox/Development/dissertation/draft2/src
Total : 105 files,  289238 codes, 353 comments, 1468 blanks, all 291059 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcRendering.ts                                      | TypeScript |        129 |          1 |          6 |        136 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/MC/mcSVGSetup.ts                                       | TypeScript |         13 |          0 |          2 |         15 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeBox.svelte                              | Svelte     |        588 |          2 |         84 |        674 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeCompletePredictedMarkov.ts              | TypeScript |        169 |          0 |         35 |        204 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeProbabilityMarkov.ts                    | TypeScript |         28 |          1 |          8 |         37 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/computeValidityFSM.ts                          | TypeScript |        366 |         17 |         37 |        420 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/compute/markovFilterHelpers.ts                         | TypeScript |         32 |          3 |          8 |         43 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/fsm/fsmLayoutPositions.ts                              | TypeScript |        169 |          7 |         41 |        217 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/fsm/fsmRendering.ts                                    | TypeScript |        206 |         40 |         46 |        292 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/fsm/fsmSVGSetup.ts                                     | TypeScript |         13 |          1 |          6 |         20 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/fsm/fsmViewer.svelte                                   | Svelte     |        302 |          0 |         38 |        340 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/markovHierarchicalViewer.svelte                        | Svelte     |        575 |         11 |         69 |        655 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/pageIntro.svelte                                       | Svelte     |         27 |          0 |          2 |         29 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/collapse.ts                                | TypeScript |         43 |          1 |         10 |         54 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/drawHalos.ts                               | TypeScript |         57 |          1 |          6 |         64 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/graphRendering.ts                          | TypeScript |         76 |          0 |         10 |         86 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/lifecycle.ts                               | TypeScript |          6 |          0 |          1 |          7 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/pathwalk.ts                                | TypeScript |        104 |          4 |         15 |        123 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/rectangleUtilityHelpers.ts                 | TypeScript |        111 |          1 |         13 |        125 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/screenControls.ts                          | TypeScript |         30 |          6 |          4 |         40 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/subgraphExpansion.ts                       | TypeScript |        221 |          6 |         27 |        254 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/components/sharedGraph/subgraphLayoutCA.ts                        | TypeScript |        205 |          9 |         22 |        236 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/caFSM.ts                                          | TypeScript |         45 |          0 |         10 |         55 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/ca_letters_markov.json                            | JSON       |         91 |          0 |          0 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/ca_letters/ca_markov.ts                                      | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/TED_Talk.csv                                     | CSV        |      4,848 |          0 |         94 |      4,942 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/TED_Talk.json                                    | JSON       |    246,672 |          0 |          0 |    246,672 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/makeTedMarkov.ts                                 | TypeScript |         21 |          1 |          7 |         29 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/interactive/preprocess_ted.py                                | Python     |         63 |          1 |         10 |         74 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/letFSM.ts                                 | TypeScript |        243 |         11 |         12 |        266 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/makeMarkovProbsPython.py                  | Python     |         49 |          1 |         16 |         66 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/markov_transitions.json                   | JSON       |      3,486 |          0 |          0 |      3,486 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/pythonMarkov.ts                           | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/build_dataset.py             | Python     |         93 |          1 |         14 |        108 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/real_markov_transitions.json | JSON       |      9,651 |          0 |          0 |      9,651 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/python_assignments/real_dataset/real_pythonMarkov.ts         | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/EDIT_hopcrofts.ts                                 | TypeScript |        153 |          1 |         34 |        188 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/EDIT_shakeitoffSAM.ts                             | TypeScript |         77 |          0 |         15 |         92 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/buildShakeItOffFSM.ts                             | TypeScript |        152 |         15 |         23 |        190 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/hierarchical_markov_builder.py                    | Python     |         63 |          0 |         11 |         74 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOffFSM.ts                                  | TypeScript |         15 |          1 |          3 |         19 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_Markov.ts                              | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/shakeItOff/shakeItOff_hierarchical_markov.json               | JSON       |      1,273 |          0 |          0 |      1,273 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/utilities/parse_helpers.py                                   | Python     |         82 |          1 |         18 |        101 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending40pMarkov.ts                                  | TypeScript |          4 |          0 |          1 |          5 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending5pFSM.ts                                      | TypeScript |         41 |          0 |         15 |         56 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vendingFSM.ts                                        | TypeScript |         23 |          0 |         10 |         33 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vendingScript.py                                     | Python     |         32 |          3 |         10 |         45 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending_make_json.py                                 | Python     |         44 |          2 |         12 |         58 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/data/vending/vending_markov.json                                  | JSON       |         91 |          0 |          0 |         91 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/Ending_Questionnaire.csv                               | CSV        |         28 |          0 |          1 |         29 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/Starter_questionnaire.csv                              | CSV        |         37 |          0 |          1 |         38 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/analysis.py                                            | Python     |        163 |          1 |         30 |        194 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/comparitive_responses.csv                              | CSV        |         27 |          0 |          0 |         27 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/interaction_log_rows_2.csv                             | CSV        |     13,085 |          0 |          0 |     13,085 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/evaluation/students_rows_1.csv                                    | CSV        |         51 |          0 |          0 |         51 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphBehaviours.ts                                          | TypeScript |        102 |         46 |         21 |        169 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphDefaults.ts                                            | TypeScript |         21 |          0 |          3 |         24 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/graphTypes.ts                                               | TypeScript |         79 |         12 |          8 |         99 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/graph/nodeColours.ts                                              | TypeScript |         31 |          0 |          5 |         36 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/index.ts                                                          | TypeScript |          0 |          1 |          1 |          2 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/styles/theme.css                                                  | PostCSS    |        279 |          0 |         26 |        305 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/auth.ts                                                  | TypeScript |         27 |          1 |          5 |         33 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/logging.ts                                               | TypeScript |         51 |          0 |          4 |         55 |
| /Users/charlottecox/Development/dissertation/draft2/src/lib/supabase/supabase.ts                                              | TypeScript |          5 |          0 |          3 |          8 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/+layout.js                                                     | JavaScript |          1 |          0 |          1 |          2 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/+layout.svelte                                                 | Svelte     |         81 |          1 |         12 |         94 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/+page.svelte                                                   | Svelte     |         48 |          5 |          8 |         61 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/TED/+page.svelte                                               | Svelte     |        197 |          0 |         18 |        215 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/benchmark/+page.svelte                                         | Svelte     |        174 |          0 |         13 |        187 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/cartons_letters/+page.svelte                                   | Svelte     |        219 |         42 |         23 |        284 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/python/+page.svelte                                            | Svelte     |        293 |          5 |         31 |        329 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/shakeItOff/+page.svelte                                        | Svelte     |        180 |         45 |         15 |        240 |
| /Users/charlottecox/Development/dissertation/draft2/src/routes/vending/+page.svelte                                           | Svelte     |        236 |          0 |         23 |        259 |
| Total                                                                                                                         |            |    289,238 |        353 |      1,468 |    291,059 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
